SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2
7320,HOWE ACADEMICS PLUS SCHOOL,"HOWE, JULIA WARD SCHOOL"
7330,HENRY W. LAWTON SCHOOL,"LAWTON, HENRY W. SCHOOL"
7350,JAMES R. LOWELL SCHOOL,"LOWELL, JAMES R. SCHOOL"
7360,JOHN MARSHALL SCHOOL,"MARSHALL, JOHN SCHOOL"
6350,PENNYPACKER SCHOOL,"PENNYPACKER, SAMUEL SCHOOL"
6380,SHAWMONT SCHOOL,SHAWMONT SCHOOL
5240,STEPHEN A DOUGLAS HIGH SCHOOL,"DOUGLAS,STEPHEN A. HIGH SCHOOL"
5250,DUNBAR ACADEMICS PLUS SCHOOL,"DUNBAR, PAUL L. SCHOOL"
5260,LEWIS ELKIN SCHOOL,"ELKIN, LEWIS SCHOOL"
1030,HIGH SCHOOL OF THE FUTURE,HIGH SCHOOL OF THE FUTURE
6070,PHILA MILITARY ACADEMY @ LEEDS,PHILA MILITARY ACADEMY @ LEEDS
5650,SHERIDAN WEST ACADEMY,SHERIDAN WEST ACADEMY
5090,PARKWAY WEST HIGH SCHOOL,PARKWAY WEST HIGH SCHOOL
4330,ROBERT E LAMBERTON HIGH SCHOOL,"LAMBERTON,ROBERT E HIGH SCHOOL"
1190,MOTIVATION HIGH SCHOOL,MOTIVATION HIGH SCHOOL
8040,ARTS ACADEMY AT BENJAMIN RUSH,ARTS ACADEMY AT BENJAMIN RUSH
5050,PHILA MILITARY ACAD @ ELVERSON,PHILA MILITARY ACAD @ ELVERSON
5520,KENSINGTON CAPA,KENSINGTON CAPA
5550,KENSINGTON HEALTH SCIENCES,KENSINGTON HEALTH SCIENCES
5510,"KENSINGTON BUSINESS, FINANCE","KENSINGTON BUSINESS, FINANCE"
2670,CONSTITUTION HIGH SCHOOL,CONSTITUTION HIGH SCHOOL
2650,SCIENCE LEADERSHIP ACADEMY,SCIENCE LEADERSHIP ACADEMY
2620,ACADEMY AT PALUMBO,ACADEMY AT PALUMBO
